,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
201,6,94,2,96,22,73,7,42,2,96,57,84,34,66,5,39,34,66,34,66,27397,1,32846,4,['16:45 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
202,4,95,12,94,22,74,7,48,15,88,69,88,38,67,5,39,34,66,39,66,27601,1,32940,4,[]
203,13,93,23,87,24,73,7,49,24,81,78,88,44,67,5,39,43,67,48,67,27805,1,32993,4,[]
204,27,92,33,79,29,74,7,49,31,74,71,90,44,67,5,39,43,67,48,67,27856,1,33114,4,[]
205,40,92,43,78,32,71,3,95,42,78,75,90,92,10,5,39,89,6,89,6,27924,1,33180,4,[]
206,53,91,48,74,33,65,3,96,46,73,81,91,85,24,5,39,76,13,76,13,28047,1,33232,4,[]
207,58,92,45,65,33,66,9,85,49,65,81,91,81,39,94,9,64,21,64,21,28315,1,33284,4,[]
208,58,92,39,65,33,66,19,76,52,61,90,14,81,54,88,18,51,25,51,25,28531,1,33337,4,[]
209,60,86,27,59,4,93,29,67,45,56,89,27,82,56,82,31,49,34,49,34,28612,1,33574,4,[]
210,60,86,23,55,10,82,39,59,40,54,89,40,75,44,82,44,50,46,50,46,28758,1,33668,4,[]
211,8,94,20,50,16,70,41,57,33,49,89,53,75,43,76,53,50,51,50,49,28879,1,33834,4,[]
212,18,85,22,46,18,56,39,57,34,48,87,66,75,55,76,54,50,51,51,50,28926,1,33996,4,[]
213,26,74,18,45,21,50,36,58,33,43,84,79,68,62,74,60,50,49,48,49,28976,1,34104,4,[]
214,31,62,22,41,23,38,31,54,33,38,82,84,57,67,75,72,46,54,42,55,29128,1,34437,4,[]
215,34,67,27,35,19,26,32,59,28,32,71,87,58,70,66,82,44,57,51,62,29182,1,34614,4,[]
216,35,78,31,38,17,22,30,66,28,32,65,90,47,73,58,83,51,65,47,68,29509,1,34760,4,[]
217,37,88,32,48,16,17,30,67,10,94,54,91,48,81,58,84,47,76,43,79,29686,1,34902,4,[]
218,37,93,32,60,17,14,30,68,22,93,46,91,41,78,58,84,41,87,41,82,29932,1,35055,4,[]
219,35,90,29,71,16,15,30,81,35,91,50,94,51,73,59,84,52,88,52,88,29983,1,35106,4,[]
220,36,85,36,75,16,15,34,83,36,84,49,91,51,74,59,84,49,76,49,76,30068,1,35300,4,[]
221,45,91,36,79,11,95,43,90,43,90,52,88,50,65,90,5,51,63,51,63,30279,1,35380,4,[]
